datetime,discharge_cms,,,,
1971/05/01,2170,,,,
1971/05/02,2040,,,,
1971/05/03,1930,,,,
1971/05/04,1790,,,,
1971/05/05,1710,,,,
1971/05/06,1620,,,,
1971/05/07,1560,,,,
1971/05/08,1490,,,,
1971/05/09,1420,,,,
1971/05/10,1370,,,,
1971/05/11,1330,,,,
1971/05/12,1290,,,,
1971/05/13,1240,,,,
1971/05/14,1190,,,,
1971/05/15,1140,,,,
1971/05/16,1090,,,,
1971/05/17,1040,,,,
1971/05/18,974,,,,
1971/05/19,926,,,,
1971/05/20,932,,,,
1971/05/21,1000,,,,
1971/05/22,980,,,,
1971/05/23,917,,,,
1971/05/24,852,,,,
1971/05/25,796,,,,
1971/05/26,753,,,,
1971/05/27,722,,,,
1971/05/28,697,,,,
1971/05/29,694,,,,
1971/05/30,705,,,,
1971/05/31,739,,,,
1971/06/01,790,,,,
1971/06/02,844,,,,
1971/06/03,900,,,,
1971/06/04,949,,,,
1971/06/05,943,,,,
1971/06/06,912,,,,
1971/06/07,915,,,,
1971/06/08,929,,,,
1971/06/09,951,,,,
1971/06/10,1010,,,,
1971/06/11,1180,,,,
1971/06/12,1610,,,,
1971/06/13,1830,,,,
1971/06/14,2230,,,,
1971/06/15,2640,,,,
1971/06/16,2620,,,,
1971/06/17,2320,,,,
1971/06/18,2080,,,,
1971/06/19,2090,,,,
1971/06/20,2300,,,,
1971/06/21,2340,,,,
1971/06/22,2420,,,,
1971/06/23,2360,,,,
1971/06/24,2150,,,,
1971/06/25,1930,,,,
1971/06/26,1800,,,,
1971/06/27,1750,,,,
1971/06/28,1800,,,,
1971/06/29,2020,,,,
1971/06/30,2340,,,,
1971/07/01,2490,,,,
1971/07/02,2490,,,,
1971/07/03,2340,,,,
1971/07/04,2150,,,,
1971/07/05,2060,,,,
1971/07/06,2120,,,,
1971/07/07,2370,,,,
1971/07/08,2920,,,,
1971/07/09,3230,,,,
1971/07/10,3230,,,,
1971/07/11,3230,,,,
1971/07/12,3370,,,,
1971/07/13,3430,,,,
1971/07/14,3400,,,,
1971/07/15,3540,,,,
1971/07/16,3910,,,,
1971/07/17,4190,,,,
1971/07/18,4130,,,,
1971/07/19,3820,,,,
1971/07/20,3430,,,,
1971/07/21,3090,,,,
1971/07/22,2830,,,,
1971/07/23,2580,,,,
1971/07/24,2340,,,,
1971/07/25,2170,,,,
1971/07/26,2060,,,,
1971/07/27,1970,,,,
1971/07/28,1920,,,,
1971/07/29,1900,,,,
1971/07/30,1910,,,,
1971/07/31,1840,,,,
1971/08/01,1690,,,,
1971/08/02,1580,,,,
1971/08/03,1510,,,,
1971/08/04,1470,,,,
1971/08/05,1410,,,,
1971/08/06,1350,,,,
1971/08/07,1330,,,,
1971/08/08,1310,,,,
1971/08/09,1310,,,,
1971/08/10,1310,,,,
1971/08/11,1270,,,,
1971/08/12,1240,,,,
1971/08/13,1230,,,,
1971/08/14,1230,,,,
1971/08/15,1250,,,,
1971/08/16,1220,,,,
1971/08/17,1170,,,,
1971/08/18,1140,,,,
1971/08/19,1130,,,,
1971/08/20,1120,,,,
1971/08/21,1090,,,,
1971/08/22,1060,,,,
1971/08/23,1020,,,,
1971/08/24,985,,,,
1971/08/25,946,,,,
1971/08/26,906,,,,
1971/08/27,867,,,,
1971/08/28,841,,,,
1971/08/29,841,,,,
1971/08/30,835,,,,
1971/08/31,824,,,,
1971/09/01,779,,,,
1971/09/02,770,,,,
1971/09/03,784,,,,
1971/09/04,773,,,,
1971/09/05,753,,,,
1971/09/06,748,,,,
1971/09/07,748,,,,
1971/09/08,753,,,,
1971/09/09,748,,,,
1971/09/10,716,,,,
1971/09/11,671,,,,
1971/09/12,634,,,,
1971/09/13,603,,,,
1971/09/14,597,,,,
1971/09/15,623,,,,
1971/09/16,620,,,,
1971/09/17,612,,,,
1971/09/18,637,,,,
1971/09/19,637,,,,
1971/09/20,677,,,,
1971/09/21,680,,,,
1971/09/22,640,,,,
1971/09/23,603,,,,
1971/09/24,566,,,,
1971/09/25,547,,,,
1971/09/26,541,,,,
1971/09/27,541,,,,
1971/09/28,541,,,,
1971/09/29,541,,,,
1971/09/30,535,,,,
1971/10/01,527,,,,
1971/10/02,530,,,,
1971/10/03,566,,,,
1971/10/04,617,,,,
1971/10/05,640,,,,
1971/10/06,629,,,,
1971/10/07,609,,,,
1971/10/08,589,,,,
1971/10/09,580,,,,
1971/10/10,580,,,,
1971/10/11,578,,,,
1971/10/12,575,,,,
1971/10/13,566,,,,
1971/10/14,572,,,,
1971/10/15,589,,,,
1971/10/16,609,,,,
1971/10/17,600,,,,
1971/10/18,572,,,,
1971/10/19,547,,,,
1971/10/20,532,,,,
1971/10/21,518,,,,
1971/10/22,507,,,,
1971/10/23,496,,,,
1971/10/24,484,,,,
1971/10/25,476,,,,
1971/10/26,459,,,,
1971/10/27,439,,,,
1971/10/28,425,,,,
1971/10/29,416,,,,
1971/10/30,408,,,,
1971/10/31,396,,,,
1971/11/01,391,,,,
1971/11/02,382,,,,
1971/11/03,377,,,,
1971/11/04,368,,,,
1971/11/05,360,,,,
1971/11/06,348,,,,
1971/11/07,340,,,,
1971/11/08,334,,,,
1971/11/09,328,,,,
1971/11/10,326,,,,
1971/11/11,323,,,,
1971/11/12,323,,,,
1971/11/13,326,,,,
1971/11/14,323,,,,
1971/11/15,320,,,,
1971/11/16,314,,,,
1971/11/17,311,,,,
1971/11/18,309,,,,
1971/11/19,306,,,,
1971/11/20,309,,,,
1971/11/21,311,,,,
1971/11/22,314,,,,
1971/11/23,317,,,,
1971/11/24,314,,,,
1971/11/25,311,,,,
1971/11/26,306,,,,
1971/11/27,300,,,,
1971/11/28,292,,,,
1971/11/29,283,,,,
1971/11/30,278,,,,
1971/12/01,269,,,,
1971/12/02,261,,,,
1971/12/03,252,,,,
1971/12/04,244,,,,
1971/12/05,235,,,,
1971/12/06,227,,,,
1971/12/07,221,,,,
1971/12/08,212,,,,
1971/12/09,207,,,,
1971/12/10,201,,,,
1971/12/11,198,,,,
1971/12/12,201,,,,
1971/12/13,207,,,,
1971/12/14,210,,,,
1971/12/15,204,,,,
1971/12/16,198,,,,
1971/12/17,193,,,,
1971/12/18,190,,,,
1971/12/19,187,,,,
1971/12/20,181,,,,
1971/12/21,178,,,,
1971/12/22,178,,,,
1971/12/23,176,,,,
1971/12/24,173,,,,
1971/12/25,170,,,,
1971/12/26,170,,,,
1971/12/27,167,,,,
1971/12/28,167,,,,
1971/12/29,164,,,,
1971/12/30,164,,,,
1971/12/31,167,,,,
1972/01/01,135,,,,
1972/01/02,139,,,,
1972/01/03,144,,,,
1972/01/04,146,,,,
1972/01/05,145,,,,
1972/01/06,144,,,,
1972/01/07,139,,,,
1972/01/08,137,,,,
1972/01/09,134,,,,
1972/01/10,135,,,,
1972/01/11,135,,,,
1972/01/12,138,,,,
1972/01/13,139,,,,
1972/01/14,142,,,,
1972/01/15,144,,,,
1972/01/16,147,,,,
1972/01/17,150,,,,
1972/01/18,152,,,,
1972/01/19,150,,,,
1972/01/20,149,,,,
1972/01/21,147,,,,
1972/01/22,148,,,,
1972/01/23,147,,,,
1972/01/24,146,,,,
1972/01/25,145,,,,
1972/01/26,147,,,,
1972/01/27,144,,,,
1972/01/28,141,,,,
1972/01/29,137,,,,
1972/01/30,137,,,,
1972/01/31,138,,,,
1972/02/01,136,,,,
1972/02/02,133,,,,
1972/02/03,130,,,,
1972/02/04,128,,,,
1972/02/05,123,,,,
1972/02/06,133,,,,
1972/02/07,132,,,,
1972/02/08,130,,,,
1972/02/09,129,,,,
1972/02/10,128,,,,
1972/02/11,128,,,,
1972/02/12,127,,,,
1972/02/13,128,,,,
1972/02/14,127,,,,
1972/02/15,126,,,,
1972/02/16,125,,,,
1972/02/17,125,,,,
1972/02/18,125,,,,
1972/02/19,128,,,,
1972/02/20,131,,,,
1972/02/21,134,,,,
1972/02/22,138,,,,
1972/02/23,141,,,,
1972/02/24,144,,,,
1972/02/25,147,,,,
1972/02/26,151,,,,
1972/02/27,154,,,,
1972/02/28,157,,,,
1972/02/29,160,,,,
1972/03/01,163,,,,
1972/03/02,167,,,,
1972/03/03,170,,,,
1972/03/04,173,,,,
1972/03/05,176,,,,
1972/03/06,180,,,,
1972/03/07,183,,,,
1972/03/08,186,,,,
1972/03/09,189,,,,
1972/03/10,193,,,,
1972/03/11,196,,,,
1972/03/12,199,,,,
1972/03/13,202,,,,
1972/03/14,206,,,,
1972/03/15,209,,,,
1972/03/16,212,,,,
1972/03/17,215,,,,
1972/03/18,219,,,,
1972/03/19,222,,,,
1972/03/20,225,,,,
1972/03/21,229,,,,
1972/03/22,232,,,,
1972/03/23,235,,,,
1972/03/24,238,,,,
1972/03/25,241,,,,
1972/03/26,245,,,,
1972/03/27,248,,,,
1972/03/28,251,,,,
1972/03/29,254,,,,
1972/03/30,258,,,,
1972/03/31,261,,,,
1972/04/01,264,,,,
1972/04/02,267,,,,
1972/04/03,270,,,,
1972/04/04,274,,,,
1972/04/05,277,,,,
1972/04/06,280,,,,
1972/04/07,283,,,,
1972/04/08,286,,,,
1972/04/09,289,,,,
1972/04/10,294,,,,
1972/04/11,297,,,,
1972/04/12,300,,,,
1972/04/13,303,,,,
1972/04/14,320,,,,
1972/04/15,340,,,,
1972/04/16,360,,,,
1972/04/17,371,,,,
1972/04/18,385,,,,
1972/04/19,428,,,,
1972/04/20,507,,,,
1972/04/21,592,,,,
1972/04/22,646,,,,
1972/04/23,680,,,,
1972/04/24,748,,,,
1972/04/25,745,,,,
1972/04/26,739,,,,
1972/04/27,739,,,,
1972/04/28,742,,,,
1972/04/29,742,,,,
1972/04/30,742,,,,
1972/05/01,742,,,,
1972/05/02,1070,,,,
1972/05/03,1400,,,,
1972/05/04,1740,,,,
1972/05/05,2060,,,,
1972/05/06,2400,,,,
1972/05/07,2730,,,,
1972/05/08,3060,,,,
1972/05/09,2890,,,,
1972/05/10,2740,,,,
1972/05/11,2590,,,,
1972/05/12,2430,,,,
1972/05/13,2270,,,,
1972/05/14,2120,,,,
1972/05/15,1960,,,,
1972/05/16,1800,,,,
1972/05/17,1760,,,,
1972/05/18,1700,,,,
1972/05/19,1700,,,,
1972/05/20,1700,,,,
1972/05/21,1700,,,,
1972/05/22,1680,,,,
1972/05/23,1830,,,,
1972/05/24,2110,,,,
1972/05/25,2070,,,,
1972/05/26,1920,,,,
1972/05/27,1840,,,,
1972/05/28,1860,,,,
1972/05/29,1840,,,,
1972/05/30,1740,,,,
1972/05/31,1610,,,,
1972/06/01,1490,,,,
1972/06/02,1370,,,,
1972/06/03,1300,,,,
1972/06/04,1300,,,,
1972/06/05,1380,,,,
1972/06/06,1530,,,,
1972/06/07,1670,,,,
1972/06/08,1660,,,,
1972/06/09,1510,,,,
1972/06/10,1350,,,,
1972/06/11,1240,,,,
1972/06/12,1190,,,,
1972/06/13,1220,,,,
1972/06/14,1310,,,,
1972/06/15,1410,,,,
1972/06/16,1600,,,,
1972/06/17,2130,,,,
1972/06/18,2550,,,,
1972/06/19,2630,,,,
1972/06/20,2470,,,,
1972/06/21,2310,,,,
1972/06/22,2240,,,,
1972/06/23,2230,,,,
1972/06/24,2110,,,,
1972/06/25,1950,,,,
1972/06/26,1810,,,,
1972/06/27,1770,,,,
1972/06/28,1850,,,,
1972/06/29,1930,,,,
1972/06/30,2490,,,,
1972/07/01,3110,,,,
1972/07/02,3260,,,,
1972/07/03,2970,,,,
1972/07/04,2620,,,,
1972/07/05,2430,,,,
1972/07/06,2290,,,,
1972/07/07,2040,,,,
1972/07/08,1810,,,,
1972/07/09,1630,,,,
1972/07/10,1530,,,,
1972/07/11,1480,,,,
1972/07/12,1460,,,,
1972/07/13,1470,,,,
1972/07/14,1540,,,,
1972/07/15,1650,,,,
1972/07/16,1650,,,,
1972/07/17,1560,,,,
1972/07/18,1430,,,,
1972/07/19,1330,,,,
1972/07/20,1270,,,,
1972/07/21,1240,,,,
1972/07/22,1210,,,,
1972/07/23,1170,,,,
1972/07/24,1140,,,,
1972/07/25,1110,,,,
1972/07/26,1110,,,,
1972/07/27,1080,,,,
1972/07/28,1030,,,,
1972/07/29,994,,,,
1972/07/30,971,,,,
1972/07/31,1020,,,,
1972/08/01,988,,,,
1972/08/02,1160,,,,
1972/08/03,1150,,,,
1972/08/04,1140,,,,
1972/08/05,1110,,,,
1972/08/06,1080,,,,
1972/08/07,1050,,,,
1972/08/08,1030,,,,
1972/08/09,1000,,,,
1972/08/10,974,,,,
